worker_id,name,day,store_id_origin,store_id_destination,store_destination_name,sales,arrival_time,departure_time,service_min,trip_time
w_id_12,,mon,HOME_w_id_12,s_id_82,"Julio Cepeda, Gonzalitos",19996105.0,08:45,15:45,420,45
w_id_12,,wed,HOME_w_id_12,s_id_82,"Julio Cepeda, Gonzalitos",19996105.0,08:45,12:15,210,45
w_id_12,,wed,s_id_82,s_id_104,"Sears, Monterrey Galerías",2566534.0,13:20,16:50,210,5
w_id_12,,fri,HOME_w_id_12,s_id_82,"Julio Cepeda, Gonzalitos",19996105.0,08:45,12:15,210,45
w_id_12,,fri,s_id_82,s_id_81,"Julio Cepeda, Galerias Monterrey",3351750.0,13:20,16:50,210,5
w_id_8,,mon,HOME_w_id_8,s_id_120,"Supercenter, Miguel Aleman",9014971.0,08:25,15:25,420,25
w_id_8,,wed,HOME_w_id_8,s_id_120,"Supercenter, Miguel Aleman",9014971.0,08:25,11:55,210,25
w_id_8,,wed,s_id_120,s_id_99,"Liverpool, Monterrey La Fe",4421093.0,13:10,16:40,210,15
w_id_8,,fri,HOME_w_id_8,s_id_120,"Supercenter, Miguel Aleman",9014971.0,08:25,11:55,210,25
w_id_8,,fri,s_id_120,s_id_99,"Liverpool, Monterrey La Fe",4421093.0,13:10,16:40,210,15
w_id_13,,mon,HOME_w_id_13,s_id_113,"Supercenter, Gomez Morin",8028029.0,08:40,15:40,420,40
w_id_13,,wed,HOME_w_id_13,s_id_113,"Supercenter, Gomez Morin",8028029.0,08:40,12:10,210,40
w_id_13,,wed,s_id_113,s_id_101,"Palacio de Hierro, Tienda Monterrey",5178573.0,13:15,16:45,210,5
